fitness,pop_size,pop_breed_percent,mutation_prob,max_attempts,max_iters,n_invocations,time
63.0,50,0.5,0.1,5,1000,15295,1.5503179000000014
63.0,50,0.5,0.1,5,1000,15295,1.5503179000000014
65.0,50,0.5,0.1,5,1000,15295,1.5503179000000014
65.0,50,0.5,0.1,5,1000,15295,1.5503179000000014
65.0,50,0.5,0.1,5,1000,15295,1.5503179000000014
65.0,50,0.5,0.1,5,1000,15295,1.5503179000000014
66.0,50,0.5,0.1,5,1000,15295,1.5503179000000014
66.0,50,0.5,0.1,5,1000,15295,1.5503179000000014
66.0,50,0.5,0.1,5,1000,15295,1.5503179000000014
67.0,50,0.5,0.1,5,1000,15295,1.5503179000000014
71.0,50,0.5,0.1,5,1000,15295,1.5503179000000014
71.0,50,0.5,0.1,5,1000,15295,1.5503179000000014
71.0,50,0.5,0.1,5,1000,15295,1.5503179000000014
71.0,50,0.5,0.1,5,1000,15295,1.5503179000000014
71.0,50,0.5,0.1,5,1000,15295,1.5503179000000014
71.0,50,0.5,0.1,5,1000,15295,1.5503179000000014
71.0,50,0.5,0.1,5,1000,15295,1.5503179000000014
71.0,50,0.5,0.1,5,1000,15295,1.5503179000000014
71.0,50,0.5,0.1,5,1000,15295,1.5503179000000014
74.0,50,0.5,0.1,5,1000,15295,1.5503179000000014
74.0,50,0.5,0.1,5,1000,15295,1.5503179000000014
74.0,50,0.5,0.1,5,1000,15295,1.5503179000000014
74.0,50,0.5,0.1,5,1000,15295,1.5503179000000014
76.0,50,0.5,0.1,5,1000,15295,1.5503179000000014
76.0,50,0.5,0.1,5,1000,15295,1.5503179000000014
77.0,50,0.5,0.1,5,1000,15295,1.5503179000000014
77.0,50,0.5,0.1,5,1000,15295,1.5503179000000014
78.0,50,0.5,0.1,5,1000,15295,1.5503179000000014
79.0,50,0.5,0.1,5,1000,15295,1.5503179000000014
79.0,50,0.5,0.1,5,1000,15295,1.5503179000000014
79.0,50,0.5,0.1,5,1000,15295,1.5503179000000014
80.0,50,0.5,0.1,5,1000,15295,1.5503179000000014
81.0,50,0.5,0.1,5,1000,15295,1.5503179000000014
83.0,50,0.5,0.1,5,1000,15295,1.5503179000000014
83.0,50,0.5,0.1,5,1000,15295,1.5503179000000014
83.0,50,0.5,0.1,5,1000,15295,1.5503179000000014
83.0,50,0.5,0.1,5,1000,15295,1.5503179000000014
84.0,50,0.5,0.1,5,1000,15295,1.5503179000000014
84.0,50,0.5,0.1,5,1000,15295,1.5503179000000014
84.0,50,0.5,0.1,5,1000,15295,1.5503179000000014
84.0,50,0.5,0.1,5,1000,15295,1.5503179000000014
84.0,50,0.5,0.1,5,1000,15295,1.5503179000000014
84.0,50,0.5,0.1,5,1000,15295,1.5503179000000014
84.0,50,0.5,0.1,5,1000,15295,1.5503179000000014
84.0,50,0.5,0.1,5,1000,15295,1.5503179000000014
85.0,50,0.5,0.1,5,1000,15295,1.5503179000000014
85.0,50,0.5,0.1,5,1000,15295,1.5503179000000014
85.0,50,0.5,0.1,5,1000,15295,1.5503179000000014
85.0,50,0.5,0.1,5,1000,15295,1.5503179000000014
85.0,50,0.5,0.1,5,1000,15295,1.5503179000000014
85.0,50,0.5,0.1,5,1000,15295,1.5503179000000014
85.0,50,0.5,0.1,5,1000,15295,1.5503179000000014
87.0,50,0.5,0.1,5,1000,15295,1.5503179000000014
90.0,50,0.5,0.1,5,1000,15295,1.5503179000000014
90.0,50,0.5,0.1,5,1000,15295,1.5503179000000014
90.0,50,0.5,0.1,5,1000,15295,1.5503179000000014
90.0,50,0.5,0.1,5,1000,15295,1.5503179000000014
90.0,50,0.5,0.1,5,1000,15295,1.5503179000000014
90.0,50,0.5,0.1,5,1000,15295,1.5503179000000014
90.0,50,0.5,0.1,5,1000,15295,1.5503179000000014
90.0,50,0.5,0.1,5,1000,15295,1.5503179000000014
90.0,50,0.5,0.1,5,1000,15295,1.5503179000000014
90.0,50,0.5,0.1,5,1000,15295,1.5503179000000014
91.0,50,0.5,0.1,5,1000,15295,1.5503179000000014
92.0,50,0.5,0.1,5,1000,15295,1.5503179000000014
92.0,50,0.5,0.1,5,1000,15295,1.5503179000000014
92.0,50,0.5,0.1,5,1000,15295,1.5503179000000014
92.0,50,0.5,0.1,5,1000,15295,1.5503179000000014
92.0,50,0.5,0.1,5,1000,15295,1.5503179000000014
92.0,50,0.5,0.1,5,1000,15295,1.5503179000000014
92.0,50,0.5,0.1,5,1000,15295,1.5503179000000014
92.0,50,0.5,0.1,5,1000,15295,1.5503179000000014
92.0,50,0.5,0.1,5,1000,15295,1.5503179000000014
92.0,50,0.5,0.1,5,1000,15295,1.5503179000000014
92.0,50,0.5,0.1,5,1000,15295,1.5503179000000014
