fitness,schedule,max_attempts,max_iters,n_invocations
26.0,GeomDecay,10,1000,43
26.0,GeomDecay,10,1000,43
26.0,GeomDecay,10,1000,43
26.0,GeomDecay,10,1000,43
26.0,GeomDecay,10,1000,43
26.0,GeomDecay,10,1000,43
26.0,GeomDecay,10,1000,43
26.0,GeomDecay,10,1000,43
26.0,GeomDecay,10,1000,43
26.0,GeomDecay,10,1000,43
26.0,GeomDecay,10,1000,43
31.0,GeomDecay,10,1000,43
31.0,GeomDecay,10,1000,43
33.0,GeomDecay,10,1000,43
33.0,GeomDecay,10,1000,43
33.0,GeomDecay,10,1000,43
33.0,GeomDecay,10,1000,43
33.0,GeomDecay,10,1000,43
33.0,GeomDecay,10,1000,43
33.0,GeomDecay,10,1000,43
33.0,GeomDecay,10,1000,43
33.0,GeomDecay,10,1000,43
32.0,GeomDecay,10,1000,43
32.0,GeomDecay,10,1000,43
32.0,GeomDecay,10,1000,43
32.0,GeomDecay,10,1000,43
32.0,GeomDecay,10,1000,43
32.0,GeomDecay,10,1000,43
32.0,GeomDecay,10,1000,43
32.0,GeomDecay,10,1000,43
32.0,GeomDecay,10,1000,43
32.0,GeomDecay,10,1000,43
32.0,GeomDecay,10,1000,43
