fitness,pop_size,keep_pct,max_attempts,max_iters,n_invocations,time
31.0,50,0.2,5,1000,3421,0.17064350000000061
32.0,50,0.2,5,1000,3421,0.17064350000000061
32.0,50,0.2,5,1000,3421,0.17064350000000061
33.0,50,0.2,5,1000,3421,0.17064350000000061
33.0,50,0.2,5,1000,3421,0.17064350000000061
35.0,50,0.2,5,1000,3421,0.17064350000000061
35.0,50,0.2,5,1000,3421,0.17064350000000061
35.0,50,0.2,5,1000,3421,0.17064350000000061
35.0,50,0.2,5,1000,3421,0.17064350000000061
35.0,50,0.2,5,1000,3421,0.17064350000000061
35.0,50,0.2,5,1000,3421,0.17064350000000061
35.0,50,0.2,5,1000,3421,0.17064350000000061
35.0,50,0.2,5,1000,3421,0.17064350000000061
35.0,50,0.2,5,1000,3421,0.17064350000000061
35.0,50,0.2,5,1000,3421,0.17064350000000061
35.0,50,0.2,5,1000,3421,0.17064350000000061
