,Iteration,Time,Fitness,Restarts,max_iters,current_restart
129,129,3.9997276000000004,1.0,25,512,0
130,130,4.0001143,1.0,25,512,0
131,131,4.0004872,1.0,25,512,0
132,132,4.000859999999999,1.0,25,512,0
133,133,4.001265999999999,1.0,25,512,0
134,134,4.001614099999999,1.0,25,512,0
135,135,4.0019670000000005,1.0,25,512,0
136,136,4.002308600000001,1.0,25,512,0
137,137,4.0026457,1.0,25,512,0
138,138,4.0029901,1.0,25,512,0
139,139,4.0033312,1.0,25,512,0
140,140,4.0036708999999995,1.0,25,512,0
141,141,4.0040157,1.0,25,512,0
142,142,4.0043556,1.0,25,512,0
143,143,4.0046932,1.0,25,512,0
144,144,4.0050381999999995,1.0,25,512,0
145,145,4.005376,1.0,25,512,0
146,146,4.0057148,1.0,25,512,0
147,147,4.0060594,1.0,25,512,0
148,148,4.006397400000001,1.0,25,512,0
149,149,4.006737900000001,1.0,25,512,0
150,150,4.0071835,1.0,25,512,0
151,151,4.0075719,1.0,25,512,0
152,152,4.007949099999999,1.0,25,512,0
153,153,4.008293200000001,1.0,25,512,0
154,154,4.008637800000001,1.0,25,512,0
155,155,4.0089854,1.0,25,512,0
156,156,4.0093297,1.0,25,512,0
157,157,4.009675400000001,1.0,25,512,0
158,158,4.0100234,1.0,25,512,0
159,159,4.0103668,1.0,25,512,0
160,160,4.0107155,1.0,25,512,0
161,161,4.0110651,1.0,25,512,0
162,162,4.0114090000000004,1.0,25,512,0
163,163,4.0117533000000005,1.0,25,512,0
164,164,4.0121027,1.0,25,512,0
165,165,4.0124464,1.0,25,512,0
166,166,4.0127907,1.0,25,512,0
167,167,4.0131388999999995,1.0,25,512,0
168,168,4.0134832,1.0,25,512,0
169,169,4.0138259000000005,1.0,25,512,0
170,170,4.014174499999999,1.0,25,512,0
171,171,4.014518000000001,1.0,25,512,0
172,172,4.014868100000001,1.0,25,512,0
173,173,4.0152144,1.0,25,512,0
174,174,4.015563800000001,1.0,25,512,0
175,175,4.0159132,1.0,25,512,0
176,176,4.0162567,1.0,25,512,0
177,177,4.016602000000001,1.0,25,512,0
178,178,4.0169525,1.0,25,512,0
179,179,4.017295799999999,1.0,25,512,0
180,180,4.0176403999999994,1.0,25,512,0
181,181,4.0180924000000005,1.0,25,512,0
182,182,4.018521400000001,1.0,25,512,0
183,183,4.018904300000001,1.0,25,512,0
184,184,4.0192481,1.0,25,512,0
185,185,4.019591800000001,1.0,25,512,0
186,186,4.019941900000001,1.0,25,512,0
187,187,4.020284999999999,1.0,25,512,0
188,188,4.020626099999999,1.0,25,512,0
189,189,4.0209723,1.0,25,512,0
190,190,4.0213147,1.0,25,512,0
191,191,4.0216575,1.0,25,512,0
192,192,4.0220006999999995,1.0,25,512,0
193,193,4.022343600000001,1.0,25,512,0
194,194,4.0226842000000005,1.0,25,512,0
195,195,4.023032499999999,1.0,25,512,0
196,196,4.023373599999999,1.0,25,512,0
197,197,4.023714,1.0,25,512,0
198,198,4.0240595,1.0,25,512,0
199,199,4.024403100000001,1.0,25,512,0
200,200,4.024746,1.0,25,512,0
201,201,4.025091400000001,1.0,25,512,0
202,202,4.025441300000001,1.0,25,512,0
203,203,4.0257869,1.0,25,512,0
204,204,4.026134600000001,1.0,25,512,0
205,205,4.026477100000001,1.0,25,512,0
206,206,4.026820799999999,1.0,25,512,0
207,207,4.0271697,1.0,25,512,0
208,208,4.0275137999999995,1.0,25,512,0
209,209,4.027860200000001,1.0,25,512,0
210,210,4.0282056,1.0,25,512,0
211,211,4.028550000000001,1.0,25,512,0
212,212,4.0289629,1.0,25,512,0
213,213,4.0293157,1.0,25,512,0
214,214,4.0296637,1.0,25,512,0
215,215,4.0300145999999994,1.0,25,512,0
216,216,4.0303605000000005,1.0,25,512,0
217,217,4.0307069,1.0,25,512,0
218,218,4.0310583,1.0,25,512,0
219,219,4.0314052,1.0,25,512,0
220,220,4.031753200000001,1.0,25,512,0
221,221,4.0321028000000005,1.0,25,512,0
222,222,4.032448500000001,1.0,25,512,0
223,223,4.0327947,1.0,25,512,0
224,224,4.0331458,1.0,25,512,0
225,225,4.0334924,1.0,25,512,0
226,226,4.033843300000001,1.0,25,512,0
227,227,4.0341904,1.0,25,512,0
228,228,4.0345371,1.0,25,512,0
229,229,4.0348883,1.0,25,512,0
230,230,4.0352385,1.0,25,512,0
231,231,4.035586200000001,1.0,25,512,0
232,232,4.0359383,1.0,25,512,0
233,233,4.0362843,1.0,25,512,0
234,234,4.036631700000001,1.0,25,512,0
235,235,4.037000600000001,1.0,25,512,0
236,236,4.0373508000000005,1.0,25,512,0
237,237,4.037696,1.0,25,512,0
238,238,4.038046899999999,1.0,25,512,0
239,239,4.038392399999999,1.0,25,512,0
240,240,4.0387387,1.0,25,512,0
241,241,4.039155000000001,1.0,25,512,0
242,242,4.0395023000000005,1.0,25,512,0
243,243,4.0398522,1.0,25,512,0
244,244,4.0402054,1.0,25,512,0
245,245,4.0405549,1.0,25,512,0
246,246,4.0409056,1.0,25,512,0
247,247,4.041250100000001,1.0,25,512,0
248,248,4.0415942000000005,1.0,25,512,0
249,249,4.041944900000001,1.0,25,512,0
250,250,4.042291800000001,1.0,25,512,0
251,251,4.0426375,1.0,25,512,0
252,252,4.042989500000001,1.0,25,512,0
253,253,4.043339899999999,1.0,25,512,0
254,254,4.0436859,1.0,25,512,0
255,255,4.0440363999999995,1.0,25,512,0
256,256,4.044383700000001,1.0,25,512,0
257,257,4.0563427,1.0,25,512,0
258,258,4.056731300000001,1.0,25,512,0
259,259,4.0571196,1.0,25,512,0
260,260,4.0575002,1.0,25,512,0
261,261,4.0578828,1.0,25,512,0
262,262,4.0582627,1.0,25,512,0
263,263,4.0586421999999995,1.0,25,512,0
264,264,4.0590268,1.0,25,512,0
265,265,4.059405700000001,1.0,25,512,0
266,266,4.059783299999999,1.0,25,512,0
267,267,4.060167,1.0,25,512,0
268,268,4.060545599999999,1.0,25,512,0
269,269,4.061003599999999,1.0,25,512,0
270,270,4.061367000000001,1.0,25,512,0
271,271,4.0617208,1.0,25,512,0
272,272,4.0620803,1.0,25,512,0
273,273,4.062435600000001,1.0,25,512,0
274,274,4.062788100000001,1.0,25,512,0
275,275,4.0631941000000005,1.0,25,512,0
276,276,4.0635549,1.0,25,512,0
277,277,4.063913299999999,1.0,25,512,0
278,278,4.064267900000001,1.0,25,512,0
279,279,4.0646199,1.0,25,512,0
280,280,4.064977900000001,1.0,25,512,0
281,281,4.065334200000001,1.0,25,512,0
282,282,4.0656874,1.0,25,512,0
283,283,4.066048800000001,1.0,25,512,0
284,284,4.066406199999999,1.0,25,512,0
285,285,4.066764600000001,1.0,25,512,0
286,286,4.0671765,1.0,25,512,0
287,287,4.067572500000001,1.0,25,512,0
288,288,4.0679590999999995,1.0,25,512,0
289,289,4.068314300000001,1.0,25,512,0
290,290,4.068668300000001,1.0,25,512,0
291,291,4.0690268,1.0,25,512,0
292,292,4.0694129,1.0,25,512,0
293,293,4.0698186,1.0,25,512,0
294,294,4.070180800000001,1.0,25,512,0
295,295,4.0705375,1.0,25,512,0
296,296,4.0708979,1.0,25,512,0
297,297,4.0712478999999995,1.0,25,512,0
298,298,4.071602800000001,1.0,25,512,0
299,299,4.072055000000001,1.0,25,512,0
300,300,4.072416500000001,1.0,25,512,0
301,301,4.0727698,1.0,25,512,0
302,302,4.073128500000001,1.0,25,512,0
303,303,4.0734805000000005,1.0,25,512,0
304,304,4.0738644,1.0,25,512,0
305,305,4.0742367999999995,1.0,25,512,0
306,306,4.0745942,1.0,25,512,0
307,307,4.0749552,1.0,25,512,0
308,308,4.075312200000001,1.0,25,512,0
309,309,4.075664400000001,1.0,25,512,0
310,310,4.076023900000001,1.0,25,512,0
311,311,4.0763774,1.0,25,512,0
312,312,4.0767314,1.0,25,512,0
313,313,4.0770862,1.0,25,512,0
314,314,4.077439200000001,1.0,25,512,0
315,315,4.077792800000001,1.0,25,512,0
316,316,4.0781507999999995,1.0,25,512,0
317,317,4.0785026,1.0,25,512,0
318,318,4.0788572,1.0,25,512,0
319,319,4.0792663000000005,1.0,25,512,0
320,320,4.079768,1.0,25,512,0
321,321,4.080196000000001,1.0,25,512,0
322,322,4.080556,1.0,25,512,0
323,323,4.0809163999999996,1.0,25,512,0
324,324,4.081269799999999,1.0,25,512,0
325,325,4.081622900000001,1.0,25,512,0
326,326,4.082057900000001,1.0,25,512,0
327,327,4.082424700000001,1.0,25,512,0
328,328,4.0827829,1.0,25,512,0
329,329,4.083144000000001,1.0,25,512,0
330,330,4.0834998,1.0,25,512,0
331,331,4.083859,1.0,25,512,0
332,332,4.0842177,1.0,25,512,0
333,333,4.084572700000001,1.0,25,512,0
334,334,4.0849361,1.0,25,512,0
335,335,4.0853106,1.0,25,512,0
336,336,4.0857078,1.0,25,512,0
337,337,4.0861301,1.0,25,512,0
338,338,4.0865519,1.0,25,512,0
339,339,4.0869661,1.0,25,512,0
340,340,4.0873591000000005,1.0,25,512,0
341,341,4.0877505,1.0,25,512,0
342,342,4.0881846,1.0,25,512,0
343,343,4.088543,1.0,25,512,0
344,344,4.0889050000000005,1.0,25,512,0
345,345,4.0892628,1.0,25,512,0
346,346,4.0896182,1.0,25,512,0
347,347,4.0899795,1.0,25,512,0
348,348,4.090334500000001,1.0,25,512,0
349,349,4.0906903,1.0,25,512,0
350,350,4.091193199999999,1.0,25,512,0
351,351,4.0915596,1.0,25,512,0
352,352,4.0919244,1.0,25,512,0
353,353,4.0922827,1.0,25,512,0
354,354,4.0926417,1.0,25,512,0
355,355,4.093108000000001,1.0,25,512,0
356,356,4.09347,1.0,25,512,0
357,357,4.0938303000000005,1.0,25,512,0
358,358,4.094189,1.0,25,512,0
359,359,4.0945453,1.0,25,512,0
360,360,4.0949039,1.0,25,512,0
361,361,4.095258100000001,1.0,25,512,0
362,362,4.095613200000001,1.0,25,512,0
363,363,4.0959734999999995,1.0,25,512,0
364,364,4.096330200000001,1.0,25,512,0
365,365,4.0966843,1.0,25,512,0
366,366,4.097051500000001,1.0,25,512,0
367,367,4.097409600000001,1.0,25,512,0
368,368,4.097767000000001,1.0,25,512,0
369,369,4.0981304000000005,1.0,25,512,0
370,370,4.098488400000001,1.0,25,512,0
371,371,4.0988506000000005,1.0,25,512,0
372,372,4.0992073,1.0,25,512,0
373,373,4.0995629000000005,1.0,25,512,0
374,374,4.0999222,1.0,25,512,0
375,375,4.1002776999999995,1.0,25,512,0
376,376,4.1006339,1.0,25,512,0
377,377,4.1009948000000005,1.0,25,512,0
378,378,4.101350699999999,1.0,25,512,0
