,Iteration,Time,Fitness,Population Size,Mutation Rate,max_iters
0,0,0.054443200000000136,3.0,150,0.4,2048
1,1,0.11770760000000013,3.0,150,0.4,2048
2,2,0.19785640000000004,2.0,150,0.4,2048
3,3,0.2982621000000001,2.0,150,0.4,2048
4,4,0.37761939999999994,2.0,150,0.4,2048
5,5,0.4691097000000002,2.0,150,0.4,2048
6,6,0.5435658999999999,2.0,150,0.4,2048
7,7,0.6109938000000001,2.0,150,0.4,2048
8,8,0.6740519000000003,2.0,150,0.4,2048
9,9,0.7643159000000002,2.0,150,0.4,2048
10,10,0.8271391000000001,2.0,150,0.4,2048
11,11,0.8881661000000003,2.0,150,0.4,2048
12,12,0.9641378000000005,2.0,150,0.4,2048
13,13,1.0751175000000002,2.0,150,0.4,2048
14,14,1.1401019000000003,1.0,150,0.4,2048
15,15,1.1949709000000004,1.0,150,0.4,2048
16,16,1.2499716000000003,1.0,150,0.4,2048
17,17,1.3147909000000002,1.0,150,0.4,2048
18,18,1.3723779,0.0,150,0.4,2048
19,19,1.4275994,3.0,150,0.5,2048
20,20,0.05217439999999929,3.0,150,0.5,2048
21,21,0.11956089999999975,3.0,150,0.5,2048
22,22,0.1939138999999992,3.0,150,0.5,2048
23,23,0.2673185999999994,2.0,150,0.5,2048
24,24,0.3546650999999992,2.0,150,0.5,2048
25,25,0.43851119999999977,2.0,150,0.5,2048
26,26,0.5045131999999999,2.0,150,0.5,2048
27,27,0.5738947999999997,1.0,150,0.5,2048
28,28,0.6358175999999993,1.0,150,0.5,2048
29,29,0.7250455999999996,1.0,150,0.5,2048
30,30,0.7806996999999996,1.0,150,0.5,2048
31,31,0.8388530999999997,1.0,150,0.5,2048
32,32,0.9002956999999991,1.0,150,0.5,2048
33,33,0.9640244999999998,1.0,150,0.5,2048
34,34,1.0226365,1.0,150,0.5,2048
35,35,1.0820016999999993,1.0,150,0.5,2048
36,36,1.141832,1.0,150,0.5,2048
37,37,1.2119809999999998,1.0,150,0.5,2048
38,38,1.2684491999999992,1.0,150,0.5,2048
39,39,1.3248838999999997,1.0,150,0.5,2048
40,40,1.3847425999999992,1.0,150,0.5,2048
41,41,1.4434164999999997,1.0,150,0.5,2048
42,42,1.5020634999999993,1.0,150,0.5,2048
43,43,1.5611623999999997,1.0,150,0.5,2048
44,44,1.6221360999999996,1.0,150,0.5,2048
45,45,1.6790854999999993,1.0,150,0.5,2048
46,46,1.7356948999999995,1.0,150,0.5,2048
47,47,1.7996108999999993,1.0,150,0.5,2048
48,48,1.8559092999999995,1.0,150,0.5,2048
49,49,1.9144400999999993,1.0,150,0.5,2048
50,50,1.9780581999999995,1.0,150,0.5,2048
51,51,2.0474651999999995,1.0,150,0.5,2048
52,52,2.1092521999999994,1.0,150,0.5,2048
53,53,2.190098699999999,1.0,150,0.5,2048
54,54,2.256487999999999,1.0,150,0.5,2048
55,55,2.3170783999999998,1.0,150,0.5,2048
56,56,2.3796935999999995,1.0,150,0.5,2048
57,57,2.4370246999999994,1.0,150,0.5,2048
58,58,2.5035906,1.0,150,0.5,2048
59,59,2.5658439999999993,1.0,150,0.5,2048
60,60,2.6240850999999994,1.0,150,0.5,2048
61,61,2.6868437,1.0,150,0.5,2048
62,62,2.748868699999999,1.0,150,0.5,2048
63,63,2.8056997999999993,1.0,150,0.5,2048
64,64,2.861655699999999,1.0,150,0.5,2048
65,65,2.9211012,1.0,150,0.5,2048
66,66,2.9761824,1.0,150,0.5,2048
67,67,3.0346992999999998,1.0,150,0.5,2048
68,68,3.0959471999999995,0.0,150,0.5,2048
69,69,3.1567416999999995,3.0,150,0.6,2048
70,70,3.2151758,3.0,150,0.6,2048
71,71,0.0477224000000005,2.0,150,0.6,2048
72,72,0.10444750000000003,2.0,150,0.6,2048
73,73,0.17279260000000018,2.0,150,0.6,2048
74,74,0.24635569999999962,2.0,150,0.6,2048
75,75,0.31321779999999944,2.0,150,0.6,2048
76,76,0.3829967000000005,2.0,150,0.6,2048
77,77,0.44089000000000045,1.0,150,0.6,2048
78,78,0.49600250000000035,1.0,150,0.6,2048
79,79,0.5561856000000001,1.0,150,0.6,2048
80,80,0.6273149000000009,1.0,150,0.6,2048
81,81,0.6835920999999994,1.0,150,0.6,2048
82,82,0.7401916999999996,1.0,150,0.6,2048
83,83,0.7975937000000011,1.0,150,0.6,2048
84,84,0.8563277000000005,1.0,150,0.6,2048
85,85,0.9121197000000008,1.0,150,0.6,2048
86,86,0.9688118999999995,1.0,150,0.6,2048
87,87,1.0247981000000008,1.0,150,0.6,2048
88,88,1.0985687999999998,1.0,150,0.6,2048
89,89,1.1567899000000006,1.0,150,0.6,2048
90,90,1.2134544000000007,1.0,150,0.6,2048
91,91,1.2708438000000006,1.0,150,0.6,2048
92,92,1.3312644000000011,1.0,150,0.6,2048
93,93,1.387881300000001,1.0,150,0.6,2048
94,94,1.445808500000001,0.0,150,0.6,2048
95,95,1.5012549999999996,3.0,200,0.4,2048
96,96,1.557675800000001,3.0,200,0.4,2048
97,97,1.6145701000000008,2.0,200,0.4,2048
98,98,0.07148220000000016,2.0,200,0.4,2048
99,99,0.14613720000000008,2.0,200,0.4,2048
100,100,0.25009509999999935,2.0,200,0.4,2048
101,101,0.3557117000000005,2.0,200,0.4,2048
102,102,0.43387829999999994,2.0,200,0.4,2048
