,Iteration,Time,Fitness,Temperature,max_iters
128,128,0.2669440999999999,2.0,1,8192
129,129,0.2832268,2.0,1,8192
130,130,0.28372719999999996,2.0,1,8192
131,131,0.2842102999999998,2.0,1,8192
132,132,0.28505689999999984,2.0,1,8192
133,133,0.2855186999999999,2.0,1,8192
134,134,0.2860171,2.0,1,8192
135,135,0.28655529999999985,2.0,1,8192
136,136,0.2872387999999999,2.0,1,8192
137,137,0.2877519999999998,2.0,1,8192
138,138,0.2882311999999998,2.0,1,8192
139,139,0.28871639999999976,2.0,1,8192
140,140,0.28959049999999964,2.0,1,8192
141,141,0.2900993999999999,2.0,1,8192
142,142,0.2906337999999997,2.0,1,8192
143,143,0.29114039999999974,2.0,1,8192
144,144,0.29166519999999974,2.0,1,8192
145,145,0.2921275999999997,2.0,1,8192
146,146,0.2929041999999997,2.0,1,8192
147,147,0.29368229999999995,1.0,1,8192
148,148,0.29447849999999987,1.0,1,8192
149,149,0.2950020999999996,1.0,1,8192
150,150,0.295512,1.0,1,8192
151,151,0.2960220999999996,1.0,1,8192
152,152,0.29649459999999994,1.0,1,8192
153,153,0.29701169999999966,1.0,1,8192
154,154,0.2975344,1.0,1,8192
155,155,0.2980307999999998,1.0,1,8192
156,156,0.29858879999999965,1.0,1,8192
157,157,0.2991117999999999,1.0,1,8192
158,158,0.29959159999999985,1.0,1,8192
159,159,0.3000547,1.0,1,8192
160,160,0.30053329999999967,1.0,1,8192
161,161,0.30098749999999974,1.0,1,8192
162,162,0.3018323999999999,1.0,1,8192
163,163,0.3022893,1.0,1,8192
164,164,0.3029584999999999,1.0,1,8192
165,165,0.30346039999999963,1.0,1,8192
166,166,0.30395249999999985,1.0,1,8192
167,167,0.30443869999999995,1.0,1,8192
168,168,0.30528310000000003,1.0,1,8192
169,169,0.3057694999999998,1.0,1,8192
170,170,0.3062247,1.0,1,8192
171,171,0.30667719999999976,1.0,1,8192
172,172,0.30712139999999977,1.0,1,8192
173,173,0.30757369999999984,1.0,1,8192
174,174,0.3080274999999997,1.0,1,8192
175,175,0.3084699999999998,1.0,1,8192
176,176,0.30892759999999964,1.0,1,8192
177,177,0.30937119999999974,1.0,1,8192
178,178,0.3098665999999999,1.0,1,8192
179,179,0.31042559999999986,1.0,1,8192
180,180,0.3109906999999996,1.0,1,8192
181,181,0.3115125999999999,1.0,1,8192
