,Iteration,Time,Fitness,use_fast_mimic,Population Size,Keep Percent,max_iters
121,121,4.104965899999996,2.0,False,10,0.75,512
122,122,4.3399313999999976,2.0,False,10,0.75,512
123,123,4.5747915999999975,2.0,False,10,0.75,512
124,124,4.807749099999995,2.0,False,10,0.75,512
125,125,5.042764799999993,2.0,False,10,0.75,512
126,126,5.2752719,2.0,False,10,0.75,512
127,127,5.5092136999999965,2.0,False,10,0.75,512
128,128,5.743978299999995,2.0,False,10,0.75,512
129,129,5.979297099999997,2.0,False,10,0.75,512
130,130,6.212881899999999,2.0,False,10,0.75,512
131,131,6.445241099999997,2.0,False,10,0.75,512
132,132,6.683528099999997,2.0,False,10,0.75,512
133,133,6.918443599999996,2.0,False,10,0.75,512
134,134,7.156675099999994,2.0,False,10,0.75,512
135,135,7.390803999999996,2.0,False,10,0.75,512
136,136,7.625817299999994,2.0,False,10,0.75,512
137,137,7.875756499999994,2.0,False,10,0.75,512
138,138,8.110722299999999,2.0,False,10,0.75,512
139,139,8.346958599999994,2.0,False,10,0.75,512
140,140,8.580559199999996,2.0,False,10,0.75,512
141,141,8.818906299999995,2.0,False,10,0.75,512
142,142,9.052770799999998,2.0,False,10,0.75,512
143,143,9.286093899999997,2.0,False,10,0.75,512
144,144,9.519070799999994,2.0,False,10,0.75,512
145,145,9.754187299999998,2.0,False,10,0.75,512
146,146,9.987383699999995,2.0,False,10,0.75,512
147,147,10.221681699999998,2.0,False,10,0.75,512
148,148,10.458580599999998,2.0,False,10,0.75,512
149,149,10.692317399999993,2.0,False,10,0.75,512
150,150,10.929939499999996,2.0,False,10,0.75,512
151,151,11.168309299999997,2.0,False,10,0.75,512
152,152,11.404267599999997,2.0,False,10,0.75,512
153,153,11.637966799999994,1.0,False,200,0.25,512
154,154,11.872922899999999,0.0,False,200,0.25,512
155,155,12.110670499999998,0.0,False,200,0.5,512
156,156,0.021905100000005007,0.0,False,200,0.75,512
157,157,0.2809226000000038,1.0,False,500,0.25,512
158,158,0.562165499999999,0.0,False,500,0.25,512
159,159,0.022114599999994766,0.0,False,500,0.5,512
160,160,0.2883453999999972,1.0,False,500,0.75,512
161,161,0.0287182999999942,1.0,False,500,0.75,512
162,162,0.2936655999999971,1.0,False,500,0.75,512
163,163,0.056332399999995175,1.0,False,500,0.75,512
164,164,0.34147060000000096,1.0,False,500,0.75,512
165,165,0.6477074000000016,0.0,False,500,0.75,512
166,166,0.05594220000000405,1.0,False,1000,0.25,512
167,167,0.3557436000000038,0.0,False,1000,0.25,512
168,168,0.05539629999999818,0.0,False,1000,0.5,512
169,169,0.3479618000000002,1.0,False,1000,0.75,512
170,170,0.6609116999999998,1.0,False,1000,0.75,512
171,171,0.9827474000000009,0.0,False,1000,0.75,512
