,Iteration,Time,Fitness,use_fast_mimic,Population Size,Keep Percent,max_iters
0,0,0.001371799999999368,3.0,False,10,0.25,512
1,1,0.2307655000000004,3.0,False,10,0.25,512
2,2,0.47970429999999986,3.0,False,10,0.25,512
3,3,0.7287876999999998,3.0,False,10,0.25,512
4,4,0.9690793000000006,3.0,False,10,0.25,512
5,5,1.2171464999999984,3.0,False,10,0.25,512
6,6,1.4591165000000004,3.0,False,10,0.25,512
7,7,1.6985948999999998,3.0,False,10,0.25,512
8,8,1.9317996999999991,3.0,False,10,0.25,512
9,9,2.1794967000000014,3.0,False,10,0.25,512
10,10,2.425116299999999,3.0,False,10,0.25,512
11,11,2.6572864000000003,3.0,False,10,0.25,512
12,12,2.8885156999999992,3.0,False,10,0.25,512
13,13,3.121158099999999,3.0,False,10,0.25,512
14,14,3.3581991,3.0,False,10,0.25,512
15,15,3.5961005999999998,3.0,False,10,0.25,512
16,16,3.828873699999999,3.0,False,10,0.25,512
17,17,4.073487700000001,3.0,False,10,0.25,512
18,18,4.306287000000001,3.0,False,10,0.25,512
19,19,4.543929200000001,3.0,False,10,0.25,512
20,20,4.777454899999999,3.0,False,10,0.25,512
21,21,5.014498799999998,3.0,False,10,0.25,512
22,22,5.247308499999999,3.0,False,10,0.25,512
23,23,5.481196300000001,3.0,False,10,0.25,512
24,24,5.7147948,3.0,False,10,0.25,512
25,25,5.948599900000001,3.0,False,10,0.25,512
26,26,6.1823069,3.0,False,10,0.25,512
27,27,6.416062700000001,3.0,False,10,0.25,512
28,28,6.650835699999998,3.0,False,10,0.25,512
29,29,6.8845323,3.0,False,10,0.25,512
30,30,7.120310499999999,3.0,False,10,0.25,512
31,31,7.352779099999999,3.0,False,10,0.25,512
32,32,7.586027000000001,3.0,False,10,0.25,512
33,33,7.829068899999999,3.0,False,10,0.25,512
34,34,8.0634892,3.0,False,10,0.25,512
35,35,8.293897699999999,3.0,False,10,0.25,512
36,36,8.532828599999998,3.0,False,10,0.25,512
37,37,8.7648477,3.0,False,10,0.25,512
38,38,8.999478700000001,3.0,False,10,0.25,512
39,39,9.232237399999999,3.0,False,10,0.25,512
40,40,9.464434,3.0,False,10,0.25,512
41,41,9.698172799999998,3.0,False,10,0.25,512
42,42,9.931517499999998,3.0,False,10,0.25,512
43,43,10.1658687,3.0,False,10,0.25,512
44,44,10.4000543,3.0,False,10,0.25,512
45,45,10.633135799999998,3.0,False,10,0.25,512
46,46,10.8639641,3.0,False,10,0.25,512
47,47,11.095832000000001,3.0,False,10,0.25,512
48,48,11.327616899999999,3.0,False,10,0.25,512
49,49,11.571327100000001,3.0,False,10,0.25,512
50,50,11.803791799999999,3.0,False,10,0.25,512
51,51,12.0375197,3.0,False,10,0.5,512
52,52,0.0013529000000005453,3.0,False,10,0.5,512
53,53,0.23305249999999944,3.0,False,10,0.5,512
54,54,0.48881680000000216,3.0,False,10,0.5,512
55,55,0.7365563000000002,3.0,False,10,0.5,512
56,56,0.9766423999999994,3.0,False,10,0.5,512
57,57,1.2263410000000015,3.0,False,10,0.5,512
58,58,1.4659590000000016,3.0,False,10,0.5,512
59,59,1.7045175000000015,3.0,False,10,0.5,512
60,60,1.937888000000001,3.0,False,10,0.5,512
61,61,2.183269599999999,3.0,False,10,0.5,512
62,62,2.417289499999999,3.0,False,10,0.5,512
63,63,2.6551279,3.0,False,10,0.5,512
64,64,2.887568699999999,3.0,False,10,0.5,512
65,65,3.120972300000002,3.0,False,10,0.5,512
66,66,3.356762200000002,3.0,False,10,0.5,512
67,67,3.5898697000000013,3.0,False,10,0.5,512
68,68,3.8224047,3.0,False,10,0.5,512
69,69,4.067286599999999,3.0,False,10,0.5,512
70,70,4.3057541000000015,3.0,False,10,0.5,512
71,71,4.5428599,3.0,False,10,0.5,512
72,72,4.7772589,3.0,False,10,0.5,512
73,73,5.010329300000002,3.0,False,10,0.5,512
74,74,5.242990400000004,3.0,False,10,0.5,512
75,75,5.475824500000002,3.0,False,10,0.5,512
76,76,5.7089374000000035,3.0,False,10,0.5,512
77,77,5.9418474,3.0,False,10,0.5,512
78,78,6.175689900000002,3.0,False,10,0.5,512
79,79,6.410826499999999,3.0,False,10,0.5,512
80,80,6.649907800000001,3.0,False,10,0.5,512
81,81,6.893218300000001,3.0,False,10,0.5,512
82,82,7.131339600000004,3.0,False,10,0.5,512
83,83,7.3688006,3.0,False,10,0.5,512
84,84,7.603242100000003,3.0,False,10,0.5,512
85,85,7.849293199999998,3.0,False,10,0.5,512
86,86,8.083700700000001,3.0,False,10,0.5,512
87,87,8.322084199999999,3.0,False,10,0.5,512
88,88,8.557907900000004,3.0,False,10,0.5,512
89,89,8.790018099999998,3.0,False,10,0.5,512
