,Iteration,Fitness,Time,State,Restarts,max_iters,current_restart
37,8,3.0,0.031854099999999885,"[6, 3, 7, 4, 6, 2, 6, 7, 4, 3, 7, 0, 2, 5, 4, 1, 7, 5, 1, 4]",4,512,0
38,16,3.0,0.031854099999999885,"[6, 3, 7, 4, 6, 2, 6, 7, 4, 3, 7, 0, 2, 5, 4, 1, 7, 5, 1, 4]",4,512,0
39,32,3.0,0.031854099999999885,"[6, 3, 7, 4, 6, 2, 6, 7, 4, 3, 7, 0, 2, 5, 4, 1, 7, 5, 1, 4]",4,512,0
40,64,3.0,0.031854099999999885,"[6, 3, 7, 4, 6, 2, 6, 7, 4, 3, 7, 0, 2, 5, 4, 1, 7, 5, 1, 4]",4,512,0
41,128,3.0,0.031854099999999885,"[6, 3, 7, 4, 6, 2, 6, 7, 4, 3, 7, 0, 2, 5, 4, 1, 7, 5, 1, 4]",4,512,0
42,256,3.0,0.031854099999999885,"[6, 3, 7, 4, 6, 2, 6, 7, 4, 3, 7, 0, 2, 5, 4, 1, 7, 5, 1, 4]",4,512,0
43,512,3.0,0.031854099999999885,"[6, 3, 7, 4, 6, 2, 6, 7, 4, 3, 7, 0, 2, 5, 4, 1, 7, 5, 1, 4]",4,512,0
44,0,3.0,0.04220039999999958,"[6, 3, 8, 2, 4, 2, 6, 4, 8, 6, 1, 3, 8, 1, 8, 4, 1, 3, 6, 7]",4,512,1
45,1,3.0,0.042722399999999716,"[6, 3, 8, 2, 4, 2, 6, 4, 8, 6, 1, 3, 8, 1, 8, 4, 1, 3, 6, 7]",4,512,1
46,2,3.0,0.052859599999999674,"[6, 3, 8, 2, 4, 2, 6, 4, 8, 6, 1, 3, 8, 1, 8, 4, 1, 3, 6, 7]",4,512,1
47,4,3.0,0.0632123,"[6, 3, 8, 2, 4, 2, 6, 4, 8, 6, 1, 3, 8, 1, 8, 4, 1, 3, 6, 7]",4,512,1
48,8,3.0,0.0739673999999999,"[6, 3, 8, 2, 4, 2, 6, 4, 8, 6, 1, 3, 8, 1, 8, 4, 1, 3, 6, 7]",4,512,1
49,16,3.0,0.0739673999999999,"[6, 3, 8, 2, 4, 2, 6, 4, 8, 6, 1, 3, 8, 1, 8, 4, 1, 3, 6, 7]",4,512,1
50,32,3.0,0.0739673999999999,"[6, 3, 8, 2, 4, 2, 6, 4, 8, 6, 1, 3, 8, 1, 8, 4, 1, 3, 6, 7]",4,512,1
51,64,3.0,0.0739673999999999,"[6, 3, 8, 2, 4, 2, 6, 4, 8, 6, 1, 3, 8, 1, 8, 4, 1, 3, 6, 7]",4,512,1
52,128,3.0,0.0739673999999999,"[6, 3, 8, 2, 4, 2, 6, 4, 8, 6, 1, 3, 8, 1, 8, 4, 1, 3, 6, 7]",4,512,1
53,256,3.0,0.0739673999999999,"[6, 3, 8, 2, 4, 2, 6, 4, 8, 6, 1, 3, 8, 1, 8, 4, 1, 3, 6, 7]",4,512,1
54,512,3.0,0.0739673999999999,"[6, 3, 8, 2, 4, 2, 6, 4, 8, 6, 1, 3, 8, 1, 8, 4, 1, 3, 6, 7]",4,512,1
55,0,8.0,0.08459169999999983,"[5, 5, 3, 5, 1, 1, 3, 7, 6, 8, 7, 4, 1, 4, 7, 8, 8, 0, 8, 6]",4,512,2
56,1,8.0,0.08512459999999988,"[5, 5, 3, 5, 1, 1, 3, 7, 6, 8, 7, 4, 1, 4, 7, 8, 8, 0, 8, 6]",4,512,2
57,2,7.0,0.09618139999999986,"[3, 5, 3, 5, 1, 1, 3, 7, 6, 8, 7, 4, 1, 4, 7, 8, 8, 0, 8, 6]",4,512,2
58,4,6.0,0.10794419999999993,"[3, 5, 3, 5, 1, 1, 3, 7, 6, 8, 2, 4, 1, 4, 7, 8, 8, 0, 8, 6]",4,512,2
59,8,4.0,0.11932299999999962,"[3, 5, 3, 5, 2, 1, 3, 7, 6, 8, 2, 4, 1, 4, 7, 8, 8, 0, 8, 6]",4,512,2
60,16,3.0,0.1315561999999999,"[3, 5, 3, 5, 2, 1, 3, 3, 6, 8, 2, 4, 1, 4, 7, 8, 8, 0, 8, 6]",4,512,2
61,32,3.0,0.14333529999999994,"[3, 5, 3, 5, 2, 1, 3, 3, 6, 8, 2, 4, 1, 4, 7, 8, 8, 0, 8, 6]",4,512,2
62,64,3.0,0.14333529999999994,"[3, 5, 3, 5, 2, 1, 3, 3, 6, 8, 2, 4, 1, 4, 7, 8, 8, 0, 8, 6]",4,512,2
63,128,3.0,0.14333529999999994,"[3, 5, 3, 5, 2, 1, 3, 3, 6, 8, 2, 4, 1, 4, 7, 8, 8, 0, 8, 6]",4,512,2
64,256,3.0,0.14333529999999994,"[3, 5, 3, 5, 2, 1, 3, 3, 6, 8, 2, 4, 1, 4, 7, 8, 8, 0, 8, 6]",4,512,2
65,512,3.0,0.14333529999999994,"[3, 5, 3, 5, 2, 1, 3, 3, 6, 8, 2, 4, 1, 4, 7, 8, 8, 0, 8, 6]",4,512,2
66,0,14.0,0.15466159999999984,"[2, 4, 2, 0, 4, 6, 6, 8, 2, 6, 0, 3, 3, 4, 6, 6, 3, 6, 2, 5]",4,512,3
67,1,12.0,0.15528969999999997,"[2, 1, 2, 0, 4, 6, 6, 8, 2, 6, 0, 3, 3, 4, 6, 6, 3, 6, 2, 5]",4,512,3
68,2,12.0,0.1665500999999998,"[2, 1, 2, 0, 4, 6, 6, 8, 2, 6, 0, 3, 3, 4, 6, 6, 3, 6, 2, 5]",4,512,3
69,4,12.0,0.17806859999999958,"[2, 1, 2, 0, 4, 6, 6, 8, 2, 6, 0, 3, 3, 4, 6, 6, 3, 6, 2, 5]",4,512,3
70,8,12.0,0.1888291999999998,"[2, 1, 2, 0, 4, 6, 6, 8, 2, 6, 0, 3, 3, 4, 6, 6, 3, 6, 2, 5]",4,512,3
71,16,12.0,0.1888291999999998,"[2, 1, 2, 0, 4, 6, 6, 8, 2, 6, 0, 3, 3, 4, 6, 6, 3, 6, 2, 5]",4,512,3
