fitness,pop_size,keep_pct,max_attempts,max_iters,n_invocations,time
32.0,50,0.2,10,500,613,0.033604199999999196
32.0,50,0.2,10,500,613,0.033604199999999196
32.0,50,0.2,10,500,613,0.033604199999999196
32.0,50,0.2,10,500,613,0.033604199999999196
32.0,50,0.2,10,500,613,0.033604199999999196
32.0,50,0.2,10,500,613,0.033604199999999196
32.0,50,0.2,10,500,613,0.033604199999999196
32.0,50,0.2,10,500,613,0.033604199999999196
32.0,50,0.2,10,500,613,0.033604199999999196
32.0,50,0.2,10,500,613,0.033604199999999196
32.0,50,0.2,10,500,613,0.033604199999999196
