fitness,schedule,max_attempts,max_iters,n_invocations,time
20.0,GeomDecay,50,500,88,0.003751399999998739
26.0,GeomDecay,50,500,88,0.003751399999998739
31.0,GeomDecay,50,500,88,0.003751399999998739
39.0,GeomDecay,50,500,88,0.003751399999998739
47.0,GeomDecay,50,500,88,0.003751399999998739
47.0,GeomDecay,50,500,88,0.003751399999998739
47.0,GeomDecay,50,500,88,0.003751399999998739
47.0,GeomDecay,50,500,88,0.003751399999998739
44.0,GeomDecay,50,500,88,0.003751399999998739
44.0,GeomDecay,50,500,88,0.003751399999998739
44.0,GeomDecay,50,500,88,0.003751399999998739
46.0,GeomDecay,50,500,88,0.003751399999998739
54.0,GeomDecay,50,500,88,0.003751399999998739
54.0,GeomDecay,50,500,88,0.003751399999998739
54.0,GeomDecay,50,500,88,0.003751399999998739
54.0,GeomDecay,50,500,88,0.003751399999998739
54.0,GeomDecay,50,500,88,0.003751399999998739
54.0,GeomDecay,50,500,88,0.003751399999998739
54.0,GeomDecay,50,500,88,0.003751399999998739
54.0,GeomDecay,50,500,88,0.003751399999998739
54.0,GeomDecay,50,500,88,0.003751399999998739
54.0,GeomDecay,50,500,88,0.003751399999998739
54.0,GeomDecay,50,500,88,0.003751399999998739
54.0,GeomDecay,50,500,88,0.003751399999998739
54.0,GeomDecay,50,500,88,0.003751399999998739
54.0,GeomDecay,50,500,88,0.003751399999998739
54.0,GeomDecay,50,500,88,0.003751399999998739
57.0,GeomDecay,50,500,88,0.003751399999998739
57.0,GeomDecay,50,500,88,0.003751399999998739
57.0,GeomDecay,50,500,88,0.003751399999998739
57.0,GeomDecay,50,500,88,0.003751399999998739
57.0,GeomDecay,50,500,88,0.003751399999998739
57.0,GeomDecay,50,500,88,0.003751399999998739
57.0,GeomDecay,50,500,88,0.003751399999998739
57.0,GeomDecay,50,500,88,0.003751399999998739
57.0,GeomDecay,50,500,88,0.003751399999998739
57.0,GeomDecay,50,500,88,0.003751399999998739
57.0,GeomDecay,50,500,88,0.003751399999998739
57.0,GeomDecay,50,500,88,0.003751399999998739
57.0,GeomDecay,50,500,88,0.003751399999998739
57.0,GeomDecay,50,500,88,0.003751399999998739
57.0,GeomDecay,50,500,88,0.003751399999998739
57.0,GeomDecay,50,500,88,0.003751399999998739
57.0,GeomDecay,50,500,88,0.003751399999998739
57.0,GeomDecay,50,500,88,0.003751399999998739
57.0,GeomDecay,50,500,88,0.003751399999998739
57.0,GeomDecay,50,500,88,0.003751399999998739
57.0,GeomDecay,50,500,88,0.003751399999998739
57.0,GeomDecay,50,500,88,0.003751399999998739
57.0,GeomDecay,50,500,88,0.003751399999998739
57.0,GeomDecay,50,500,88,0.003751399999998739
57.0,GeomDecay,50,500,88,0.003751399999998739
57.0,GeomDecay,50,500,88,0.003751399999998739
57.0,GeomDecay,50,500,88,0.003751399999998739
57.0,GeomDecay,50,500,88,0.003751399999998739
57.0,GeomDecay,50,500,88,0.003751399999998739
57.0,GeomDecay,50,500,88,0.003751399999998739
57.0,GeomDecay,50,500,88,0.003751399999998739
57.0,GeomDecay,50,500,88,0.003751399999998739
57.0,GeomDecay,50,500,88,0.003751399999998739
57.0,GeomDecay,50,500,88,0.003751399999998739
57.0,GeomDecay,50,500,88,0.003751399999998739
57.0,GeomDecay,50,500,88,0.003751399999998739
57.0,GeomDecay,50,500,88,0.003751399999998739
57.0,GeomDecay,50,500,88,0.003751399999998739
57.0,GeomDecay,50,500,88,0.003751399999998739
57.0,GeomDecay,50,500,88,0.003751399999998739
57.0,GeomDecay,50,500,88,0.003751399999998739
57.0,GeomDecay,50,500,88,0.003751399999998739
57.0,GeomDecay,50,500,88,0.003751399999998739
57.0,GeomDecay,50,500,88,0.003751399999998739
57.0,GeomDecay,50,500,88,0.003751399999998739
57.0,GeomDecay,50,500,88,0.003751399999998739
57.0,GeomDecay,50,500,88,0.003751399999998739
57.0,GeomDecay,50,500,88,0.003751399999998739
57.0,GeomDecay,50,500,88,0.003751399999998739
57.0,GeomDecay,50,500,88,0.003751399999998739
57.0,GeomDecay,50,500,88,0.003751399999998739
