fitness,pop_size,pop_breed_percent,mutation_prob,max_attempts,max_iters,n_invocations,time
204.0,50,0.5,0.1,100,500,11897,0.8032162999999741
204.0,50,0.5,0.1,100,500,11897,0.8032162999999741
204.0,50,0.5,0.1,100,500,11897,0.8032162999999741
219.0,50,0.5,0.1,100,500,11897,0.8032162999999741
228.0,50,0.5,0.1,100,500,11897,0.8032162999999741
228.0,50,0.5,0.1,100,500,11897,0.8032162999999741
228.0,50,0.5,0.1,100,500,11897,0.8032162999999741
228.0,50,0.5,0.1,100,500,11897,0.8032162999999741
228.0,50,0.5,0.1,100,500,11897,0.8032162999999741
236.0,50,0.5,0.1,100,500,11897,0.8032162999999741
236.0,50,0.5,0.1,100,500,11897,0.8032162999999741
255.0,50,0.5,0.1,100,500,11897,0.8032162999999741
255.0,50,0.5,0.1,100,500,11897,0.8032162999999741
255.0,50,0.5,0.1,100,500,11897,0.8032162999999741
268.0,50,0.5,0.1,100,500,11897,0.8032162999999741
268.0,50,0.5,0.1,100,500,11897,0.8032162999999741
268.0,50,0.5,0.1,100,500,11897,0.8032162999999741
268.0,50,0.5,0.1,100,500,11897,0.8032162999999741
268.0,50,0.5,0.1,100,500,11897,0.8032162999999741
268.0,50,0.5,0.1,100,500,11897,0.8032162999999741
277.0,50,0.5,0.1,100,500,11897,0.8032162999999741
277.0,50,0.5,0.1,100,500,11897,0.8032162999999741
281.0,50,0.5,0.1,100,500,11897,0.8032162999999741
281.0,50,0.5,0.1,100,500,11897,0.8032162999999741
283.0,50,0.5,0.1,100,500,11897,0.8032162999999741
283.0,50,0.5,0.1,100,500,11897,0.8032162999999741
285.0,50,0.5,0.1,100,500,11897,0.8032162999999741
287.0,50,0.5,0.1,100,500,11897,0.8032162999999741
287.0,50,0.5,0.1,100,500,11897,0.8032162999999741
287.0,50,0.5,0.1,100,500,11897,0.8032162999999741
288.0,50,0.5,0.1,100,500,11897,0.8032162999999741
288.0,50,0.5,0.1,100,500,11897,0.8032162999999741
288.0,50,0.5,0.1,100,500,11897,0.8032162999999741
288.0,50,0.5,0.1,100,500,11897,0.8032162999999741
288.0,50,0.5,0.1,100,500,11897,0.8032162999999741
289.0,50,0.5,0.1,100,500,11897,0.8032162999999741
289.0,50,0.5,0.1,100,500,11897,0.8032162999999741
289.0,50,0.5,0.1,100,500,11897,0.8032162999999741
289.0,50,0.5,0.1,100,500,11897,0.8032162999999741
289.0,50,0.5,0.1,100,500,11897,0.8032162999999741
289.0,50,0.5,0.1,100,500,11897,0.8032162999999741
289.0,50,0.5,0.1,100,500,11897,0.8032162999999741
