fitness,schedule,max_attempts,max_iters,n_invocations,time
164.0,GeomDecay,50,500,235,0.009283699999997452
164.0,GeomDecay,50,500,235,0.009283699999997452
173.0,GeomDecay,50,500,235,0.009283699999997452
173.0,GeomDecay,50,500,235,0.009283699999997452
173.0,GeomDecay,50,500,235,0.009283699999997452
173.0,GeomDecay,50,500,235,0.009283699999997452
181.0,GeomDecay,50,500,235,0.009283699999997452
181.0,GeomDecay,50,500,235,0.009283699999997452
181.0,GeomDecay,50,500,235,0.009283699999997452
185.0,GeomDecay,50,500,235,0.009283699999997452
185.0,GeomDecay,50,500,235,0.009283699999997452
189.0,GeomDecay,50,500,235,0.009283699999997452
189.0,GeomDecay,50,500,235,0.009283699999997452
188.0,GeomDecay,50,500,235,0.009283699999997452
188.0,GeomDecay,50,500,235,0.009283699999997452
195.0,GeomDecay,50,500,235,0.009283699999997452
205.0,GeomDecay,50,500,235,0.009283699999997452
205.0,GeomDecay,50,500,235,0.009283699999997452
213.0,GeomDecay,50,500,235,0.009283699999997452
213.0,GeomDecay,50,500,235,0.009283699999997452
213.0,GeomDecay,50,500,235,0.009283699999997452
213.0,GeomDecay,50,500,235,0.009283699999997452
222.0,GeomDecay,50,500,235,0.009283699999997452
222.0,GeomDecay,50,500,235,0.009283699999997452
222.0,GeomDecay,50,500,235,0.009283699999997452
222.0,GeomDecay,50,500,235,0.009283699999997452
222.0,GeomDecay,50,500,235,0.009283699999997452
222.0,GeomDecay,50,500,235,0.009283699999997452
222.0,GeomDecay,50,500,235,0.009283699999997452
222.0,GeomDecay,50,500,235,0.009283699999997452
222.0,GeomDecay,50,500,235,0.009283699999997452
222.0,GeomDecay,50,500,235,0.009283699999997452
222.0,GeomDecay,50,500,235,0.009283699999997452
229.0,GeomDecay,50,500,235,0.009283699999997452
227.0,GeomDecay,50,500,235,0.009283699999997452
227.0,GeomDecay,50,500,235,0.009283699999997452
227.0,GeomDecay,50,500,235,0.009283699999997452
232.0,GeomDecay,50,500,235,0.009283699999997452
232.0,GeomDecay,50,500,235,0.009283699999997452
241.0,GeomDecay,50,500,235,0.009283699999997452
241.0,GeomDecay,50,500,235,0.009283699999997452
241.0,GeomDecay,50,500,235,0.009283699999997452
241.0,GeomDecay,50,500,235,0.009283699999997452
241.0,GeomDecay,50,500,235,0.009283699999997452
241.0,GeomDecay,50,500,235,0.009283699999997452
241.0,GeomDecay,50,500,235,0.009283699999997452
241.0,GeomDecay,50,500,235,0.009283699999997452
241.0,GeomDecay,50,500,235,0.009283699999997452
241.0,GeomDecay,50,500,235,0.009283699999997452
241.0,GeomDecay,50,500,235,0.009283699999997452
241.0,GeomDecay,50,500,235,0.009283699999997452
249.0,GeomDecay,50,500,235,0.009283699999997452
249.0,GeomDecay,50,500,235,0.009283699999997452
249.0,GeomDecay,50,500,235,0.009283699999997452
251.0,GeomDecay,50,500,235,0.009283699999997452
260.0,GeomDecay,50,500,235,0.009283699999997452
260.0,GeomDecay,50,500,235,0.009283699999997452
260.0,GeomDecay,50,500,235,0.009283699999997452
260.0,GeomDecay,50,500,235,0.009283699999997452
260.0,GeomDecay,50,500,235,0.009283699999997452
