fitness,restarts,max_attempts,max_iters,n_invocations,time
1.0,50,200,500,25219,0.6048406999999827
3.0,50,200,500,25219,0.6048406999999827
3.0,50,200,500,25219,0.6048406999999827
3.0,50,200,500,25219,0.6048406999999827
3.0,50,200,500,25219,0.6048406999999827
3.0,50,200,500,25219,0.6048406999999827
3.0,50,200,500,25219,0.6048406999999827
3.0,50,200,500,25219,0.6048406999999827
3.0,50,200,500,25219,0.6048406999999827
3.0,50,200,500,25219,0.6048406999999827
3.0,50,200,500,25219,0.6048406999999827
3.0,50,200,500,25219,0.6048406999999827
3.0,50,200,500,25219,0.6048406999999827
3.0,50,200,500,25219,0.6048406999999827
8.0,50,200,500,25219,0.6048406999999827
8.0,50,200,500,25219,0.6048406999999827
8.0,50,200,500,25219,0.6048406999999827
9.0,50,200,500,25219,0.6048406999999827
9.0,50,200,500,25219,0.6048406999999827
9.0,50,200,500,25219,0.6048406999999827
9.0,50,200,500,25219,0.6048406999999827
9.0,50,200,500,25219,0.6048406999999827
9.0,50,200,500,25219,0.6048406999999827
9.0,50,200,500,25219,0.6048406999999827
9.0,50,200,500,25219,0.6048406999999827
9.0,50,200,500,25219,0.6048406999999827
9.0,50,200,500,25219,0.6048406999999827
9.0,50,200,500,25219,0.6048406999999827
9.0,50,200,500,25219,0.6048406999999827
9.0,50,200,500,25219,0.6048406999999827
9.0,50,200,500,25219,0.6048406999999827
9.0,50,200,500,25219,0.6048406999999827
9.0,50,200,500,25219,0.6048406999999827
9.0,50,200,500,25219,0.6048406999999827
9.0,50,200,500,25219,0.6048406999999827
9.0,50,200,500,25219,0.6048406999999827
9.0,50,200,500,25219,0.6048406999999827
9.0,50,200,500,25219,0.6048406999999827
9.0,50,200,500,25219,0.6048406999999827
9.0,50,200,500,25219,0.6048406999999827
9.0,50,200,500,25219,0.6048406999999827
9.0,50,200,500,25219,0.6048406999999827
9.0,50,200,500,25219,0.6048406999999827
9.0,50,200,500,25219,0.6048406999999827
9.0,50,200,500,25219,0.6048406999999827
9.0,50,200,500,25219,0.6048406999999827
9.0,50,200,500,25219,0.6048406999999827
9.0,50,200,500,25219,0.6048406999999827
9.0,50,200,500,25219,0.6048406999999827
9.0,50,200,500,25219,0.6048406999999827
9.0,50,200,500,25219,0.6048406999999827
9.0,50,200,500,25219,0.6048406999999827
9.0,50,200,500,25219,0.6048406999999827
9.0,50,200,500,25219,0.6048406999999827
9.0,50,200,500,25219,0.6048406999999827
9.0,50,200,500,25219,0.6048406999999827
9.0,50,200,500,25219,0.6048406999999827
9.0,50,200,500,25219,0.6048406999999827
