fitness,pop_size,pop_breed_percent,mutation_prob,max_attempts,max_iters,n_invocations,time
9.0,50,0.5,0.1,100,500,9492,0.512974799999995
9.0,50,0.5,0.1,100,500,9492,0.512974799999995
9.0,50,0.5,0.1,100,500,9492,0.512974799999995
9.0,50,0.5,0.1,100,500,9492,0.512974799999995
9.0,50,0.5,0.1,100,500,9492,0.512974799999995
9.0,50,0.5,0.1,100,500,9492,0.512974799999995
29.0,50,0.5,0.1,100,500,9492,0.512974799999995
29.0,50,0.5,0.1,100,500,9492,0.512974799999995
29.0,50,0.5,0.1,100,500,9492,0.512974799999995
29.0,50,0.5,0.1,100,500,9492,0.512974799999995
29.0,50,0.5,0.1,100,500,9492,0.512974799999995
29.0,50,0.5,0.1,100,500,9492,0.512974799999995
29.0,50,0.5,0.1,100,500,9492,0.512974799999995
29.0,50,0.5,0.1,100,500,9492,0.512974799999995
29.0,50,0.5,0.1,100,500,9492,0.512974799999995
29.0,50,0.5,0.1,100,500,9492,0.512974799999995
31.0,50,0.5,0.1,100,500,9492,0.512974799999995
31.0,50,0.5,0.1,100,500,9492,0.512974799999995
31.0,50,0.5,0.1,100,500,9492,0.512974799999995
31.0,50,0.5,0.1,100,500,9492,0.512974799999995
31.0,50,0.5,0.1,100,500,9492,0.512974799999995
31.0,50,0.5,0.1,100,500,9492,0.512974799999995
31.0,50,0.5,0.1,100,500,9492,0.512974799999995
31.0,50,0.5,0.1,100,500,9492,0.512974799999995
31.0,50,0.5,0.1,100,500,9492,0.512974799999995
33.0,50,0.5,0.1,100,500,9492,0.512974799999995
33.0,50,0.5,0.1,100,500,9492,0.512974799999995
33.0,50,0.5,0.1,100,500,9492,0.512974799999995
33.0,50,0.5,0.1,100,500,9492,0.512974799999995
33.0,50,0.5,0.1,100,500,9492,0.512974799999995
33.0,50,0.5,0.1,100,500,9492,0.512974799999995
33.0,50,0.5,0.1,100,500,9492,0.512974799999995
33.0,50,0.5,0.1,100,500,9492,0.512974799999995
33.0,50,0.5,0.1,100,500,9492,0.512974799999995
33.0,50,0.5,0.1,100,500,9492,0.512974799999995
33.0,50,0.5,0.1,100,500,9492,0.512974799999995
33.0,50,0.5,0.1,100,500,9492,0.512974799999995
33.0,50,0.5,0.1,100,500,9492,0.512974799999995
33.0,50,0.5,0.1,100,500,9492,0.512974799999995
33.0,50,0.5,0.1,100,500,9492,0.512974799999995
33.0,50,0.5,0.1,100,500,9492,0.512974799999995
33.0,50,0.5,0.1,100,500,9492,0.512974799999995
33.0,50,0.5,0.1,100,500,9492,0.512974799999995
33.0,50,0.5,0.1,100,500,9492,0.512974799999995
33.0,50,0.5,0.1,100,500,9492,0.512974799999995
33.0,50,0.5,0.1,100,500,9492,0.512974799999995
33.0,50,0.5,0.1,100,500,9492,0.512974799999995
33.0,50,0.5,0.1,100,500,9492,0.512974799999995
33.0,50,0.5,0.1,100,500,9492,0.512974799999995
33.0,50,0.5,0.1,100,500,9492,0.512974799999995
33.0,50,0.5,0.1,100,500,9492,0.512974799999995
33.0,50,0.5,0.1,100,500,9492,0.512974799999995
33.0,50,0.5,0.1,100,500,9492,0.512974799999995
33.0,50,0.5,0.1,100,500,9492,0.512974799999995
33.0,50,0.5,0.1,100,500,9492,0.512974799999995
33.0,50,0.5,0.1,100,500,9492,0.512974799999995
33.0,50,0.5,0.1,100,500,9492,0.512974799999995
33.0,50,0.5,0.1,100,500,9492,0.512974799999995
33.0,50,0.5,0.1,100,500,9492,0.512974799999995
33.0,50,0.5,0.1,100,500,9492,0.512974799999995
33.0,50,0.5,0.1,100,500,9492,0.512974799999995
33.0,50,0.5,0.1,100,500,9492,0.512974799999995
33.0,50,0.5,0.1,100,500,9492,0.512974799999995
33.0,50,0.5,0.1,100,500,9492,0.512974799999995
33.0,50,0.5,0.1,100,500,9492,0.512974799999995
33.0,50,0.5,0.1,100,500,9492,0.512974799999995
33.0,50,0.5,0.1,100,500,9492,0.512974799999995
