fitness,pop_size,keep_pct,max_attempts,max_iters,n_invocations,time
8.0,50,0.2,10,500,613,0.027662200000001747
8.0,50,0.2,10,500,613,0.027662200000001747
8.0,50,0.2,10,500,613,0.027662200000001747
8.0,50,0.2,10,500,613,0.027662200000001747
8.0,50,0.2,10,500,613,0.027662200000001747
8.0,50,0.2,10,500,613,0.027662200000001747
8.0,50,0.2,10,500,613,0.027662200000001747
8.0,50,0.2,10,500,613,0.027662200000001747
8.0,50,0.2,10,500,613,0.027662200000001747
8.0,50,0.2,10,500,613,0.027662200000001747
8.0,50,0.2,10,500,613,0.027662200000001747
