fitness,pop_size,keep_pct,max_attempts,max_iters,n_invocations,time
27.0,200,0.2,10,500,3421,0.13164749999998548
31.0,200,0.2,10,500,3421,0.13164749999998548
33.0,200,0.2,10,500,3421,0.13164749999998548
33.0,200,0.2,10,500,3421,0.13164749999998548
33.0,200,0.2,10,500,3421,0.13164749999998548
36.0,200,0.2,10,500,3421,0.13164749999998548
36.0,200,0.2,10,500,3421,0.13164749999998548
36.0,200,0.2,10,500,3421,0.13164749999998548
36.0,200,0.2,10,500,3421,0.13164749999998548
36.0,200,0.2,10,500,3421,0.13164749999998548
36.0,200,0.2,10,500,3421,0.13164749999998548
36.0,200,0.2,10,500,3421,0.13164749999998548
36.0,200,0.2,10,500,3421,0.13164749999998548
36.0,200,0.2,10,500,3421,0.13164749999998548
36.0,200,0.2,10,500,3421,0.13164749999998548
36.0,200,0.2,10,500,3421,0.13164749999998548
