fitness,pop_size,keep_pct,max_attempts,max_iters,n_invocations,time
10.0,150,0.2,10,500,2269,0.2698986999999988
14.0,150,0.2,10,500,2269,0.2698986999999988
64.0,150,0.2,10,500,2269,0.2698986999999988
65.0,150,0.2,10,500,2269,0.2698986999999988
65.0,150,0.2,10,500,2269,0.2698986999999988
65.0,150,0.2,10,500,2269,0.2698986999999988
65.0,150,0.2,10,500,2269,0.2698986999999988
65.0,150,0.2,10,500,2269,0.2698986999999988
65.0,150,0.2,10,500,2269,0.2698986999999988
65.0,150,0.2,10,500,2269,0.2698986999999988
65.0,150,0.2,10,500,2269,0.2698986999999988
65.0,150,0.2,10,500,2269,0.2698986999999988
65.0,150,0.2,10,500,2269,0.2698986999999988
65.0,150,0.2,10,500,2269,0.2698986999999988
