fitness,restarts,max_attempts,max_iters,n_invocations,time
1.0,10,50,500,1664,0.03746599999999489
1.0,10,50,500,1664,0.03746599999999489
1.0,10,50,500,1664,0.03746599999999489
1.0,10,50,500,1664,0.03746599999999489
6.0,10,50,500,1664,0.03746599999999489
6.0,10,50,500,1664,0.03746599999999489
6.0,10,50,500,1664,0.03746599999999489
6.0,10,50,500,1664,0.03746599999999489
26.0,10,50,500,1664,0.03746599999999489
26.0,10,50,500,1664,0.03746599999999489
29.0,10,50,500,1664,0.03746599999999489
29.0,10,50,500,1664,0.03746599999999489
30.0,10,50,500,1664,0.03746599999999489
30.0,10,50,500,1664,0.03746599999999489
30.0,10,50,500,1664,0.03746599999999489
30.0,10,50,500,1664,0.03746599999999489
30.0,10,50,500,1664,0.03746599999999489
30.0,10,50,500,1664,0.03746599999999489
30.0,10,50,500,1664,0.03746599999999489
30.0,10,50,500,1664,0.03746599999999489
30.0,10,50,500,1664,0.03746599999999489
31.0,10,50,500,1664,0.03746599999999489
31.0,10,50,500,1664,0.03746599999999489
31.0,10,50,500,1664,0.03746599999999489
31.0,10,50,500,1664,0.03746599999999489
31.0,10,50,500,1664,0.03746599999999489
31.0,10,50,500,1664,0.03746599999999489
31.0,10,50,500,1664,0.03746599999999489
31.0,10,50,500,1664,0.03746599999999489
31.0,10,50,500,1664,0.03746599999999489
31.0,10,50,500,1664,0.03746599999999489
31.0,10,50,500,1664,0.03746599999999489
31.0,10,50,500,1664,0.03746599999999489
31.0,10,50,500,1664,0.03746599999999489
31.0,10,50,500,1664,0.03746599999999489
31.0,10,50,500,1664,0.03746599999999489
31.0,10,50,500,1664,0.03746599999999489
31.0,10,50,500,1664,0.03746599999999489
31.0,10,50,500,1664,0.03746599999999489
31.0,10,50,500,1664,0.03746599999999489
31.0,10,50,500,1664,0.03746599999999489
31.0,10,50,500,1664,0.03746599999999489
31.0,10,50,500,1664,0.03746599999999489
35.0,10,50,500,1664,0.03746599999999489
35.0,10,50,500,1664,0.03746599999999489
35.0,10,50,500,1664,0.03746599999999489
35.0,10,50,500,1664,0.03746599999999489
35.0,10,50,500,1664,0.03746599999999489
35.0,10,50,500,1664,0.03746599999999489
35.0,10,50,500,1664,0.03746599999999489
35.0,10,50,500,1664,0.03746599999999489
35.0,10,50,500,1664,0.03746599999999489
35.0,10,50,500,1664,0.03746599999999489
35.0,10,50,500,1664,0.03746599999999489
35.0,10,50,500,1664,0.03746599999999489
35.0,10,50,500,1664,0.03746599999999489
35.0,10,50,500,1664,0.03746599999999489
35.0,10,50,500,1664,0.03746599999999489
35.0,10,50,500,1664,0.03746599999999489
35.0,10,50,500,1664,0.03746599999999489
35.0,10,50,500,1664,0.03746599999999489
35.0,10,50,500,1664,0.03746599999999489
35.0,10,50,500,1664,0.03746599999999489
35.0,10,50,500,1664,0.03746599999999489
35.0,10,50,500,1664,0.03746599999999489
35.0,10,50,500,1664,0.03746599999999489
35.0,10,50,500,1664,0.03746599999999489
35.0,10,50,500,1664,0.03746599999999489
36.0,10,50,500,1664,0.03746599999999489
36.0,10,50,500,1664,0.03746599999999489
36.0,10,50,500,1664,0.03746599999999489
36.0,10,50,500,1664,0.03746599999999489
36.0,10,50,500,1664,0.03746599999999489
36.0,10,50,500,1664,0.03746599999999489
36.0,10,50,500,1664,0.03746599999999489
36.0,10,50,500,1664,0.03746599999999489
36.0,10,50,500,1664,0.03746599999999489
36.0,10,50,500,1664,0.03746599999999489
36.0,10,50,500,1664,0.03746599999999489
36.0,10,50,500,1664,0.03746599999999489
36.0,10,50,500,1664,0.03746599999999489
36.0,10,50,500,1664,0.03746599999999489
36.0,10,50,500,1664,0.03746599999999489
36.0,10,50,500,1664,0.03746599999999489
36.0,10,50,500,1664,0.03746599999999489
36.0,10,50,500,1664,0.03746599999999489
36.0,10,50,500,1664,0.03746599999999489
36.0,10,50,500,1664,0.03746599999999489
36.0,10,50,500,1664,0.03746599999999489
36.0,10,50,500,1664,0.03746599999999489
36.0,10,50,500,1664,0.03746599999999489
36.0,10,50,500,1664,0.03746599999999489
36.0,10,50,500,1664,0.03746599999999489
36.0,10,50,500,1664,0.03746599999999489
36.0,10,50,500,1664,0.03746599999999489
36.0,10,50,500,1664,0.03746599999999489
36.0,10,50,500,1664,0.03746599999999489
36.0,10,50,500,1664,0.03746599999999489
36.0,10,50,500,1664,0.03746599999999489
36.0,10,50,500,1664,0.03746599999999489
36.0,10,50,500,1664,0.03746599999999489
36.0,10,50,500,1664,0.03746599999999489
36.0,10,50,500,1664,0.03746599999999489
36.0,10,50,500,1664,0.03746599999999489
36.0,10,50,500,1664,0.03746599999999489
36.0,10,50,500,1664,0.03746599999999489
36.0,10,50,500,1664,0.03746599999999489
36.0,10,50,500,1664,0.03746599999999489
36.0,10,50,500,1664,0.03746599999999489
36.0,10,50,500,1664,0.03746599999999489
36.0,10,50,500,1664,0.03746599999999489
36.0,10,50,500,1664,0.03746599999999489
36.0,10,50,500,1664,0.03746599999999489
36.0,10,50,500,1664,0.03746599999999489
36.0,10,50,500,1664,0.03746599999999489
36.0,10,50,500,1664,0.03746599999999489
36.0,10,50,500,1664,0.03746599999999489
36.0,10,50,500,1664,0.03746599999999489
36.0,10,50,500,1664,0.03746599999999489
